Feature,Count
Neighborhood_target_encoded,5
OverallQual,4
KitchenQual,4
YearRemodAdd,4
BsmtExposure,4
1stFlrSF,4
BsmtFinSF1,4
GrLivArea,4
Exterior2nd_target_encoded,4
Exterior1st_target_encoded,4
GarageFinish_target_encoded,4
SaleCondition_target_encoded,4
TotRmsAbvGrd,4
TotalBsmtSF,4
FireplaceQu,4
OverallCond,3
SaleType_target_encoded,3
GarageType_target_encoded,3
MasVnrArea,3
YearBuilt,3
LotFrontage,3
GarageYrBlt,3
GarageArea,3
GarageCars,3
ExterQual,3
2ndFlrSF,3
LandContour_target_encoded,3
WoodDeckSF,3
BsmtQual,3
LotArea,2
OpenPorchSF,2
CentralAir_target_encoded,2
MoSold,2
FullBath,2
Foundation_target_encoded,2
PavedDrive_target_encoded,2
BsmtUnfSF,2
MSZoning_target_encoded,2
MSSubClass,1
KitchenAbvGr,1
Condition1_target_encoded,1
BldgType_target_encoded,1
RoofStyle_target_encoded,1
RoofMatl_target_encoded,1
Functional_target_encoded,1
HouseStyle_target_encoded,1
GarageQual,1
GarageCond,1
HalfBath,1
HeatingQC,1
BsmtCond,1
BsmtFullBath,1
Fireplaces,1
LotShape_target_encoded,1
YrSold,1
LotConfig_target_encoded,1
Electrical_target_encoded,1
Condition2_target_encoded,1
LandSlope_target_encoded,1
BedroomAbvGr,0
BsmtFinSF2,0
ExterCond,0
LowQualFinSF,0
BsmtHalfBath,0
EnclosedPorch,0
PoolArea,0
Utilities_target_encoded,0
3SsnPorch,0
MiscVal,0
Street_target_encoded,0
ScreenPorch,0
Heating_target_encoded,0
